brand,product,price,image of the product
HUDA BEAUTY,Life Liner Double Ended Eyeliner Liquid & Pencil, $12.00,https://www.sephora.com/productimages/sku/s2282606-main-zoom.jpg?imwidth=135
Rare Beauty by Selena Gomez,Mini Always An Optimist Illuminating Primer,$14.00,https://www.sephora.com/productimages/sku/s2362473-main-zoom.jpg?imwidth=135
HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation, $24.00,https://www.sephora.com/productimages/sku/s2001774-main-zoom.jpg?imwidth=135
Natasha Denona,Glam Eyeshadow Palette,$65.00,https://www.sephora.com/productimages/sku/s2378313-main-zoom.jpg?imwidth=135
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,$35.00,https://www.sephora.com/productimages/sku/s2164671-main-zoom.jpg?pb=2020-03-allure-best-2018&imwidth=135
NARS,Radiant Creamy Concealer,$30.00,https://www.sephora.com/productimages/sku/s2172310-main-zoom.jpg?pb=2020-03-allure-best-2018&imwidth=135
Rare Beauty by Selena Gomez,Lip Souffle Matte Cream Lipstick,$20.00,https://www.sephora.com/productimages/sku/s2362267-main-zoom.jpg?imwidth=135
NARS,Soft Matte Complete Foundation,$40.00,https://www.sephora.com/productimages/sku/s2374502-main-zoom.jpg?imwidth=135
Rare Beauty by Selena Gomez,Brow Harmony Pencil & Gel,$22.00,https://www.sephora.com/productimages/sku/s2384907-main-zoom.jpg?imwidth=135
Rare Beauty by Selena Gomez,Liquid Touch Multi-Tasking Makeup Sponge,$14.00,https://www.sephora.com/productimages/sku/s2362416-main-zoom.jpg?imwidth=135
Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,$29.00,https://www.sephora.com/productimages/sku/s2361285-main-zoom.jpg?imwidth=135
Rare Beauty by Selena Gomez,Soft Pinch Liquid Blush,$20.00,https://www.sephora.com/productimages/sku/s2354140-main-zoom.jpg?imwidth=135
SEPHORA COLLECTION,Cream Lip Stain Liquid Lipstick,$15.00,https://www.sephora.com/productimages/sku/s1805662-main-zoom.jpg?pb=2020-03-sephora-value-2019&imwidth=135
HUDA BEAUTY,Liquid Matte Lipstick,$20.00,https://www.sephora.com/productimages/sku/s1860824-main-zoom.jpg?imwidth=135
KVD Vegan Beauty,Alchemist Holographic Palette, $10.00,https://www.sephora.com/productimages/sku/s1890615-main-zoom.jpg?imwidth=135
Too Faced,Born This Way Super Coverage Multi-Use Concealer,$30.00,https://www.sephora.com/productimages/sku/s2223089-main-zoom.jpg?imwidth=135
tarte,Tarteist™ PRO Glow Highlight & Contour Palette, $24.50,https://www.sephora.com/productimages/sku/s1876556-main-zoom.jpg?imwidth=135
Urban Decay,Naked Honey Eyeshadow Palette,$49.00,https://www.sephora.com/productimages/sku/s2264869-main-zoom.jpg?imwidth=135
MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,$43.00,https://www.sephora.com/productimages/sku/s2246726-main-zoom.jpg?imwidth=135
KVD Vegan Beauty,Tattoo Eyeliner,$21.00,https://www.sephora.com/productimages/sku/s1177567-main-zoom.jpg?pb=2020-03-allure-readers-choice-2018&imwidth=135
Too Faced,Better Than Sex Mascara,$26.00,https://www.sephora.com/productimages/sku/s1533439-main-zoom.jpg?pb=2020-03-allure-readers-choice-2019&imwidth=135
HUDA BEAUTY,Obsessions Eyeshadow Palette,$27.00,https://www.sephora.com/productimages/sku/s2137230-main-zoom.jpg?imwidth=135
Laura Mercier,Translucent Loose Setting Powder,$39.00,https://www.sephora.com/productimages/sku/s870618-main-zoom.jpg?imwidth=135
Lancôme,Teint Idole Ultra Long Wear Foundation,$47.00,https://www.sephora.com/productimages/sku/s2169845-main-zoom.jpg?imwidth=135
Benefit Cosmetics,"Precisely, My Brow Pencil Ultra Fine Shape & Define",$24.00,https://www.sephora.com/productimages/sku/s2086759-main-zoom.jpg?imwidth=135
Charlotte Tilbury,Airbrush Flawless Finish Setting Powder,$45.00,https://www.sephora.com/productimages/sku/s2116341-main-zoom.jpg?imwidth=135
FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,$35.00,https://www.sephora.com/productimages/sku/s2164671-main-zoom.jpg?pb=2020-03-allure-best-2018&imwidth=135
MILK MAKEUP,Hydro Grip Primer,$30.00,https://www.sephora.com/productimages/sku/s2169423-main-zoom.jpg?pb=2020-03-allure-best-2019&imwidth=135
